device,order_index,coefficient_position,row,col,frequency_band
DEVICE-001,0,2,0,2,low
DEVICE-001,1,47,5,7,high
DEVICE-001,2,5,0,5,mid
DEVICE-001,3,58,7,2,high
DEVICE-001,4,4,0,4,mid
DEVICE-001,5,1,0,1,low
DEVICE-001,6,44,5,4,high
DEVICE-001,7,41,5,1,mid
DEVICE-001,8,55,6,7,high
DEVICE-001,9,37,4,5,high
DEVICE-001,10,53,6,5,high
DEVICE-001,11,49,6,1,mid
DEVICE-001,12,17,2,1,low
DEVICE-001,13,3,0,3,low
DEVICE-001,14,46,5,6,high
DEVICE-001,15,36,4,4,mid
DEVICE-001,16,61,7,5,high
DEVICE-001,17,23,2,7,high
DEVICE-001,18,10,1,2,low
DEVICE-001,19,51,6,3,high
DEVICE-001,20,30,3,6,high
DEVICE-001,21,24,3,0,low
DEVICE-001,22,43,5,3,mid
DEVICE-001,23,57,7,1,mid
DEVICE-001,24,21,2,5,mid
DEVICE-001,25,12,1,4,mid
DEVICE-001,26,7,0,7,mid
DEVICE-001,27,35,4,3,mid
DEVICE-001,28,28,3,4,mid
DEVICE-001,29,6,0,6,mid
DEVICE-001,30,8,1,0,low
DEVICE-001,31,15,1,7,mid
DEVICE-001,32,48,6,0,mid
DEVICE-001,33,50,6,2,mid
DEVICE-001,34,52,6,4,high
DEVICE-001,35,16,2,0,low
DEVICE-001,36,9,1,1,low
DEVICE-001,37,39,4,7,high
DEVICE-001,38,13,1,5,mid
DEVICE-001,39,54,6,6,high
DEVICE-001,40,25,3,1,mid
DEVICE-001,41,62,7,6,high
DEVICE-001,42,31,3,7,high
DEVICE-001,43,38,4,6,high
DEVICE-001,44,11,1,3,mid
DEVICE-001,45,22,2,6,mid
DEVICE-001,46,63,7,7,high
DEVICE-001,47,34,4,2,mid
DEVICE-001,48,32,4,0,mid
DEVICE-001,49,33,4,1,mid
DEVICE-001,50,19,2,3,mid
DEVICE-001,51,20,2,4,mid
DEVICE-001,52,56,7,0,mid
DEVICE-001,53,26,3,2,mid
DEVICE-001,54,18,2,2,mid
DEVICE-001,55,42,5,2,mid
DEVICE-001,56,45,5,5,high
DEVICE-001,57,40,5,0,mid
DEVICE-001,58,29,3,5,mid
DEVICE-001,59,59,7,3,high
DEVICE-001,60,14,1,6,mid
DEVICE-001,61,0,0,0,low
DEVICE-001,62,60,7,4,high
DEVICE-001,63,27,3,3,mid
DEVICE-002,0,37,4,5,high
DEVICE-002,1,43,5,3,mid
DEVICE-002,2,62,7,6,high
DEVICE-002,3,50,6,2,mid
DEVICE-002,4,9,1,1,low
DEVICE-002,5,45,5,5,high
DEVICE-002,6,14,1,6,mid
DEVICE-002,7,53,6,5,high
DEVICE-002,8,6,0,6,mid
DEVICE-002,9,8,1,0,low
DEVICE-002,10,60,7,4,high
DEVICE-002,11,41,5,1,mid
DEVICE-002,12,35,4,3,mid
DEVICE-002,13,46,5,6,high
DEVICE-002,14,1,0,1,low
DEVICE-002,15,40,5,0,mid
DEVICE-002,16,24,3,0,low
DEVICE-002,17,26,3,2,mid
DEVICE-002,18,2,0,2,low
DEVICE-002,19,23,2,7,high
DEVICE-002,20,61,7,5,high
DEVICE-002,21,63,7,7,high
DEVICE-002,22,12,1,4,mid
DEVICE-002,23,30,3,6,high
DEVICE-002,24,3,0,3,low
DEVICE-002,25,0,0,0,low
DEVICE-002,26,48,6,0,mid
DEVICE-002,27,38,4,6,high
DEVICE-002,28,36,4,4,mid
DEVICE-002,29,4,0,4,mid
DEVICE-002,30,52,6,4,high
DEVICE-002,31,59,7,3,high
DEVICE-002,32,18,2,2,mid
DEVICE-002,33,57,7,1,mid
DEVICE-002,34,32,4,0,mid
DEVICE-002,35,28,3,4,mid
DEVICE-002,36,27,3,3,mid
DEVICE-002,37,58,7,2,high
DEVICE-002,38,29,3,5,mid
DEVICE-002,39,22,2,6,mid
DEVICE-002,40,33,4,1,mid
DEVICE-002,41,17,2,1,low
DEVICE-002,42,34,4,2,mid
DEVICE-002,43,21,2,5,mid
DEVICE-002,44,15,1,7,mid
DEVICE-002,45,56,7,0,mid
DEVICE-002,46,44,5,4,high
DEVICE-002,47,42,5,2,mid
DEVICE-002,48,10,1,2,low
DEVICE-002,49,39,4,7,high
DEVICE-002,50,20,2,4,mid
DEVICE-002,51,13,1,5,mid
DEVICE-002,52,55,6,7,high
DEVICE-002,53,19,2,3,mid
DEVICE-002,54,7,0,7,mid
DEVICE-002,55,31,3,7,high
DEVICE-002,56,49,6,1,mid
DEVICE-002,57,54,6,6,high
DEVICE-002,58,5,0,5,mid
DEVICE-002,59,16,2,0,low
DEVICE-002,60,51,6,3,high
DEVICE-002,61,47,5,7,high
DEVICE-002,62,11,1,3,mid
DEVICE-002,63,25,3,1,mid
DEVICE-003,0,8,1,0,low
DEVICE-003,1,20,2,4,mid
DEVICE-003,2,27,3,3,mid
DEVICE-003,3,9,1,1,low
DEVICE-003,4,48,6,0,mid
