level,avg_quantization,min_quantization,max_quantization,std_deviation
0,1.00,1,1,0.00
5,1.83,1,20,3.40
10,2.92,1,23,5.27
15,3.98,1,25,6.55
20,5.02,1,25,7.19
25,5.98,1,25,7.54
30,6.75,1,25,7.51
35,7.70,1,25,7.68
40,8.59,1,25,7.82
45,9.59,1,25,7.86
50,10.44,1,25,7.62
55,11.05,1,25,7.19
60,12.22,1,25,6.85
65,12.97,4,25,6.39
70,13.80,4,39,7.55
75,15.22,4,49,10.14
80,16.13,4,49,10.94
85,17.19,4,49,11.71
90,18.00,4,49,11.89
95,18.72,4,49,11.77
100,19.69,4,49,12.13
105,20.59,5,49,12.54
110,21.73,5,49,13.03
115,22.45,5,49,12.90
120,23.14,5,49,12.54
125,24.33,5,49,12.83
130,25.17,7,55,13.28
135,25.97,7,58,13.89
140,27.34,7,73,16.00
145,28.36,7,73,17.08
150,29.17,7,73,17.36
155,30.11,7,73,17.60
160,30.81,7,73,17.42
165,31.66,9,73,17.79
170,32.84,9,73,18.73
175,33.97,9,73,19.29
180,34.50,9,73,18.86
185,35.39,9,73,18.95
190,36.31,10,73,19.08
195,37.22,10,73,19.61
200,38.03,10,77,20.12
