level,position,row,col,value,increment
0,0,0,0,1,4
0,1,0,1,1,3
0,2,0,2,1,3
0,3,0,3,1,4
0,4,0,4,1,5
0,5,0,5,1,8
0,6,0,6,1,10
0,7,0,7,1,12
0,8,1,0,1,3
0,9,1,1,1,3
0,10,1,2,1,4
0,11,1,3,1,5
0,12,1,4,1,6
0,13,1,5,1,11
0,14,1,6,1,12
0,15,1,7,1,11
0,16,2,0,1,4
0,17,2,1,1,4
0,18,2,2,1,5
0,19,2,3,1,6
0,20,2,4,1,8
0,21,2,5,1,11
0,22,2,6,1,14
0,23,2,7,1,11
0,24,3,0,1,4
0,25,3,1,1,5
0,26,3,2,1,6
0,27,3,3,1,7
0,28,3,4,1,10
0,29,3,5,1,17
0,30,3,6,1,16
0,31,3,7,1,12
0,32,4,0,1,5
0,33,4,1,1,6
0,34,4,2,1,9
0,35,4,3,1,11
0,36,4,4,1,14
0,37,4,5,1,22
0,38,4,6,1,21
0,39,4,7,1,15
0,40,5,0,1,6
0,41,5,1,1,9
0,42,5,2,1,11
0,43,5,3,1,13
0,44,5,4,1,16
0,45,5,5,1,21
0,46,5,6,1,23
0,47,5,7,1,18
0,48,6,0,1,10
0,49,6,1,1,13
0,50,6,2,1,16
0,51,6,3,1,17
0,52,6,4,1,21
0,53,6,5,1,24
0,54,6,6,1,24
0,55,6,7,1,20
0,56,7,0,1,14
0,57,7,1,1,18
0,58,7,2,1,19
0,59,7,3,1,20
0,60,7,4,1,22
0,61,7,5,1,20
0,62,7,6,1,21
0,63,7,7,1,20
1,0,0,0,1,4
1,1,0,1,1,3
1,2,0,2,4,3
1,3,0,3,1,4
1,4,0,4,1,5
1,5,0,5,1,8
1,6,0,6,1,10
1,7,0,7,1,12
1,8,1,0,1,3
1,9,1,1,1,3
1,10,1,2,1,4
1,11,1,3,1,5
1,12,1,4,1,6
1,13,1,5,1,11
1,14,1,6,1,12
1,15,1,7,1,11
1,16,2,0,1,4
1,17,2,1,1,4
1,18,2,2,1,5
1,19,2,3,1,6
1,20,2,4,1,8
1,21,2,5,1,11
1,22,2,6,1,14
1,23,2,7,1,11
1,24,3,0,1,4
1,25,3,1,1,5
1,26,3,2,1,6
1,27,3,3,1,7
1,28,3,4,1,10
1,29,3,5,1,17
1,30,3,6,1,16
1,31,3,7,1,12
1,32,4,0,1,5
1,33,4,1,1,6
1,34,4,2,1,9
1,35,4,3,1,11
1,36,4,4,1,14
1,37,4,5,1,22
1,38,4,6,1,21
1,39,4,7,1,15
1,40,5,0,1,6
1,41,5,1,1,9
1,42,5,2,1,11
1,43,5,3,1,13
1,44,5,4,1,16
1,45,5,5,1,21
1,46,5,6,1,23
1,47,5,7,1,18
1,48,6,0,1,10
1,49,6,1,1,13
1,50,6,2,1,16
1,51,6,3,1,17
1,52,6,4,1,21
1,53,6,5,1,24
1,54,6,6,1,24
1,55,6,7,1,20
1,56,7,0,1,14
1,57,7,1,1,18
1,58,7,2,1,19
1,59,7,3,1,20
1,60,7,4,1,22
1,61,7,5,1,20
1,62,7,6,1,21
1,63,7,7,1,20
5,0,0,0,1,4
5,1,0,1,1,3
5,2,0,2,4,3
5,3,0,3,1,4
5,4,0,4,6,5
5,5,0,5,9,8
5,6,0,6,1,10
5,7,0,7,1,12
5,8,1,0,1,3
5,9,1,1,1,3
5,10,1,2,1,4
5,11,1,3,1,5
5,12,1,4,1,6
5,13,1,5,1,11
5,14,1,6,1,12
5,15,1,7,1,11
5,16,2,0,1,4
5,17,2,1,1,4
5,18,2,2,1,5
5,19,2,3,1,6
5,20,2,4,1,8
5,21,2,5,1,11
5,22,2,6,1,14
5,23,2,7,1,11
5,24,3,0,1,4
5,25,3,1,1,5
5,26,3,2,1,6
5,27,3,3,1,7
5,28,3,4,1,10
5,29,3,5,1,17
5,30,3,6,1,16
5,31,3,7,1,12
5,32,4,0,1,5
5,33,4,1,1,6
5,34,4,2,1,9
5,35,4,3,1,11
5,36,4,4,1,14
5,37,4,5,1,22
5,38,4,6,1,21
5,39,4,7,1,15
5,40,5,0,1,6
